"","Job","Firm","Functional area","Type"
"228","Advisory Senior Associates | Portfolio and Programme Management Dublin
PwC","PwC","Management","Job"
"229","Marketing Executive | Communications & Marketing | Core Operations
FTI Consulting","FTI Consulting","Marketing","Job"
"230","Technology Solution Architect | Manager | Advisory Consulting - Dublin/Cork
PwC","PwC","IT Strategy","Job"
"231","Support Engineer
PA Consulting","PA Consulting","Unknown","Job"
"232","Consultant | Financial Services, Strategic Communications
FTI Consulting","FTI Consulting","Unknown","Job"
"233","Pre-Sales Application Engineer
PA Consulting","PA Consulting","Unknown","Job"
"234","MC - AWS Pre-Sales - Alliance
PA Consulting","PA Consulting","Unknown","Job"
"235","Consultant | Energy | Strategic Communications 
FTI Consulting","FTI Consulting","Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma","Job"
"236","Consultant | Technology, Media & Telecom, Strategic Communications
FTI Consulting","FTI Consulting","Unknown","Job"
"237","IT Sourcing Consultant
PA Consulting","PA Consulting","Procurement
+1
Supply Chain","Job"
"238","MC - Intellectual Property Advisory - Networks
PA Consulting","PA Consulting","Property Management","Job"
"239","Consultant - Economics, Econometrics and Disputes | Economic & Financial Consulting
FTI Consulting","FTI Consulting","Unknown","Job"
"240","Executive Assistant (12 Months FTC)| People and Transformation, Strategic Communications
FTI Consulting","FTI Consulting","Management
+6
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma
More","Job"
"241","Operational Resilience Consultant - Financial Services
PA Consulting","PA Consulting","Unknown","Job"
"242","Data Privacy Specialist
PA Consulting","PA Consulting","Data Science","Job"
"243","Director | Financial Services, Strategic Communications
FTI Consulting","FTI Consulting","Unknown","Job"
"244","Senior HR Advisor | Human Resources | Core Operations
FTI Consulting","FTI Consulting","Human Resources","Job"
"245","Cloud security Architect
PA Consulting","PA Consulting","Cyber Security
+1
Cloud","Job"
"246","Digital Campaigns and Social Media Lead
PA Consulting","PA Consulting","Digital
+1
Social Media","Job"
"247","Executive Assistant (12 months fixed term contract)| Economic and Financial Consulting
FTI Consulting","FTI Consulting","Unknown","Job"
"248","Senior Advisor | Human Resources | Core Operations
FTI Consulting","FTI Consulting","Human Resources","Job"
"249","DevOps Engineer
PA Consulting","PA Consulting","Software","Job"
"250","Consultant | Financial Services, Strategic Communications
FTI Consulting","FTI Consulting","Unknown","Job"
"251","Lead Software Engineer
PA Consulting","PA Consulting","Software","Job"
